solver,Qin,iterations,time,residual_norm
gmres,14.08040201,100,0.1254802,3.80E-13
bcg,14.08040201,22,0.0087148,4.69E-14
bicgstab,14.08040201,28,0.0026732,3.51E-14
direct,14.1758794,0,0.0001208,2.53E-14
gmres,14.1758794,100,0.0863034,1.30E-13
bcg,14.1758794,22,0.0042237,1.73E-14
bicgstab,14.1758794,28,0.0007962,2.78E-14
direct,14.27135678,0,0.0001026,8.53E-15
gmres,14.27135678,100,0.112982,1.66E-13
bcg,14.27135678,22,0.0044154,2.64E-14
bicgstab,14.27135678,27,0.0007296,1.77E-14
direct,14.36683417,0,0.0001279,9.21E-15
gmres,14.36683417,100,0.0831921,2.32E-13
bcg,14.36683417,22,0.005473,6.46E-14
bicgstab,14.36683417,27,0.0007656,3.11E-14
direct,14.46231156,0,8.57E-05,1.22E-14
gmres,14.46231156,100,0.0566074,9.74E-14
bcg,14.46231156,22,0.0054617,7.10E-14
bicgstab,14.46231156,27,0.000745,2.19E-14
direct,14.55778894,0,9.78E-05,6.50E-15
gmres,14.55778894,100,0.0571322,2.59E-13
bcg,14.55778894,22,0.0062436,2.32E-14
bicgstab,14.55778894,27,0.0007301,3.07E-14
direct,14.65326633,0,7.64E-05,1.40E-14
gmres,14.65326633,100,0.1202525,2.80E-13
bcg,14.65326633,22,0.0039918,2.74E-14
bicgstab,14.65326633,27,0.0007186,1.69E-14
direct,14.74874372,0,6.16E-05,1.31E-14
gmres,14.74874372,100,0.0935868,1.54E-13
bcg,14.74874372,22,0.0055855,1.72E-14
bicgstab,14.74874372,28,0.0014086,5.82E-14
direct,14.84422111,0,0.0001051,5.85E-15
gmres,14.84422111,100,0.0632795,2.45E-13
bcg,14.84422111,23,0.008315,1.90E-14
bicgstab,14.84422111,27,0.001575,2.06E-14
direct,14.93969849,0,0.0001316,1.07E-14
gmres,14.93969849,100,0.0977434,2.82E-13
bcg,14.93969849,22,0.0050299,1.15E-14
bicgstab,14.93969849,28,0.0012901,1.93E-14
direct,15.03517588,0,7.49E-05,1.14E-14
gmres,15.03517588,100,0.0781379,1.59E-13
bcg,15.03517588,22,0.0040482,1.83E-14
bicgstab,15.03517588,27,0.000716,2.30E-14
direct,15.13065327,0,8.22E-05,6.74E-15
gmres,15.13065327,100,0.0959231,1.77E-13
bcg,15.13065327,22,0.0046395,1.08E-14
bicgstab,15.13065327,27,0.0007273,2.69E-14
direct,15.22613065,0,8.22E-05,1.19E-14
gmres,15.22613065,100,0.0727687,3.88E-13
bcg,15.22613065,22,0.0063593,1.65E-14
bicgstab,15.22613065,28,0.0008152,1.73E-14
direct,15.32160804,0,0.0002032,6.03E-15
gmres,15.32160804,100,0.1241759,2.86E-13
bcg,15.32160804,22,0.0075997,2.03E-14
bicgstab,15.32160804,27,0.0009057,3.37E-14
direct,15.41708543,0,0.0001041,9.95E-15
gmres,15.41708543,100,0.0691822,1.77E-13
bcg,15.41708543,22,0.0052833,1.88E-14
bicgstab,15.41708543,27,0.0008886,3.07E-14
direct,15.51256281,0,9.84E-05,6.21E-15
gmres,15.51256281,100,0.0836866,1.64E-13
bcg,15.51256281,22,0.0043882,1.73E-14
bicgstab,15.51256281,27,0.0007333,2.09E-14
direct,15.6080402,0,9.05E-05,1.38E-14
gmres,15.6080402,100,0.0824168,1.88E-13
bcg,15.6080402,23,0.0041507,3.37E-14
bicgstab,15.6080402,28,0.0007423,3.15E-14
direct,15.70351759,0,6.18E-05,7.33E-15
gmres,15.70351759,100,0.0802309,1.89E-13
bcg,15.70351759,22,0.004116,1.45E-14
bicgstab,15.70351759,28,0.000843,3.00E-14
direct,15.79899497,0,7.83E-05,1.11E-14
gmres,15.79899497,100,0.0757005,3.01E-13
bcg,15.79899497,22,0.0039607,1.51E-14
bicgstab,15.79899497,27,0.0007303,4.12E-14
direct,15.89447236,0,7.69E-05,1.55E-14
gmres,15.89447236,100,0.1067319,3.71E-13
bcg,15.89447236,22,0.0047888,1.59E-14
bicgstab,15.89447236,27,0.0008137,4.93E-14
direct,15.98994975,0,0.0001046,1.60E-14
gmres,15.98994975,100,0.0721673,1.39E-13
bcg,15.98994975,22,0.0048209,3.29E-14
bicgstab,15.98994975,28,0.0007625,4.18E-14
direct,16.08542714,0,0.0001266,1.12E-14
gmres,16.08542714,100,0.0684572,1.72E-13
bcg,16.08542714,22,0.0059335,2.31E-14
bicgstab,16.08542714,27,0.0008657,2.69E-14
direct,16.18090452,0,0.0001001,9.64E-15
gmres,16.18090452,100,0.0617524,1.86E-13
bcg,16.18090452,22,0.0047665,2.46E-14
bicgstab,16.18090452,26,0.0007068,2.22E-14
direct,16.27638191,0,0.0001128,8.54E-15
gmres,16.27638191,100,0.0576449,2.98E-13
bcg,16.27638191,23,0.0059099,1.43E-14
bicgstab,16.27638191,28,0.0007558,2.96E-14
direct,16.3718593,0,9.52E-05,9.88E-15
gmres,16.3718593,100,0.0570002,2.00E-13
bcg,16.3718593,22,0.0045737,1.53E-14
bicgstab,16.3718593,27,0.0007333,4.10E-14
direct,16.46733668,0,7.52E-05,1.40E-14
gmres,16.46733668,100,0.0588599,3.80E-13
bcg,16.46733668,22,0.004385,4.10E-14
bicgstab,16.46733668,27,0.0008709,5.40E-14
direct,16.56281407,0,8.30E-05,1.89E-14
gmres,16.56281407,100,0.0795253,2.04E-13
bcg,16.56281407,22,0.0043558,5.46E-14
bicgstab,16.56281407,27,0.0008904,3.19E-14
direct,16.65829146,0,0.0001418,1.01E-14
gmres,16.65829146,100,0.0827793,2.64E-13
bcg,16.65829146,22,0.004125,2.03E-14
bicgstab,16.65829146,27,0.0007222,2.52E-14
direct,16.75376884,0,9.60E-05,2.02E-14
gmres,16.75376884,100,0.076387,2.47E-13
bcg,16.75376884,22,0.004088,1.69E-14
bicgstab,16.75376884,27,0.0007099,6.89E-14
direct,16.84924623,0,6.98E-05,2.35E-14
gmres,16.84924623,100,0.0749402,3.40E-13
bcg,16.84924623,23,0.0049801,1.56E-14
bicgstab,16.84924623,27,0.0007873,3.25E-14
direct,16.94472362,0,9.58E-05,7.20E-15
gmres,16.94472362,100,0.0677323,3.55E-13
bcg,16.94472362,22,0.0073981,5.30E-14
bicgstab,16.94472362,27,0.0013845,2.57E-14
direct,17.04020101,0,0.0001121,1.87E-14
gmres,17.04020101,100,0.0705706,1.73E-13
bcg,17.04020101,22,0.0046517,2.95E-14
bicgstab,17.04020101,27,0.0007565,3.08E-14
direct,17.13567839,0,8.79E-05,1.95E-14
gmres,17.13567839,100,0.060281,1.90E-13
bcg,17.13567839,22,0.0056368,2.33E-14
bicgstab,17.13567839,27,0.0007632,3.82E-14
direct,17.23115578,0,6.96E-05,9.97E-15
gmres,17.23115578,100,0.0695795,2.07E-13
bcg,17.23115578,22,0.0048853,1.82E-14
bicgstab,17.23115578,27,0.0007454,3.85E-14
direct,17.32663317,0,9.55E-05,1.05E-14
gmres,17.32663317,100,0.0721975,1.69E-13
bcg,17.32663317,23,0.0071896,2.20E-14
bicgstab,17.32663317,27,0.0010127,5.56E-14
direct,17.42211055,0,0.0001013,1.08E-14
gmres,17.42211055,100,0.0856387,3.11E-13
bcg,17.42211055,23,0.0084931,2.33E-14
bicgstab,17.42211055,27,0.0010395,4.47E-14
direct,17.51758794,0,0.0001101,1.28E-14
gmres,17.51758794,100,0.0651942,6.12E-13
bcg,17.51758794,22,0.0041942,3.01E-14
bicgstab,17.51758794,27,0.0007086,8.29E-15
direct,17.61306533,0,9.14E-05,1.10E-14
gmres,17.61306533,100,0.0564511,2.38E-13
bcg,17.61306533,22,0.0040118,3.86E-14
bicgstab,17.61306533,27,0.0007186,3.83E-14
direct,17.70854271,0,8.76E-05,1.71E-14
gmres,17.70854271,100,0.0670023,1.08E-13
bcg,17.70854271,22,0.0040844,2.76E-14
bicgstab,17.70854271,29,0.000768,2.64E-14
direct,17.8040201,0,6.46E-05,1.71E-14
gmres,17.8040201,100,0.0644405,4.38E-13
bcg,17.8040201,23,0.0042996,1.41E-14
bicgstab,17.8040201,28,0.0007464,2.38E-14
direct,17.89949749,0,0.0001697,1.14E-14
gmres,17.89949749,100,0.0925177,1.96E-13
bcg,17.89949749,22,0.0053228,4.90E-14
bicgstab,17.89949749,27,0.0009189,5.30E-14
direct,17.99497487,0,9.86E-05,1.08E-14
gmres,17.99497487,100,0.0731175,1.37E-13
bcg,17.99497487,23,0.0065841,1.18E-14
bicgstab,17.99497487,27,0.0008966,4.06E-14
direct,18.09045226,0,9.32E-05,7.41E-15
gmres,18.09045226,100,0.0983311,1.40E-13
bcg,18.09045226,23,0.0054917,2.40E-14
bicgstab,18.09045226,27,0.0008162,3.03E-14
direct,18.18592965,0,0.0001019,1.33E-14
gmres,18.18592965,100,0.0636016,2.94E-13
bcg,18.18592965,22,0.0051835,1.74E-14
bicgstab,18.18592965,28,0.0007466,1.97E-14
direct,18.28140704,0,8.88E-05,1.77E-14
gmres,18.28140704,100,0.0557275,3.17E-13
bcg,18.28140704,22,0.0039836,1.33E-14
bicgstab,18.28140704,27,0.0009144,3.60E-14
direct,18.37688442,0,7.49E-05,1.70E-14
gmres,18.37688442,100,0.0603817,2.58E-13
bcg,18.37688442,22,0.0044395,3.19E-14
bicgstab,18.37688442,27,0.0008541,3.83E-14
direct,18.47236181,0,8.66E-05,1.21E-14
gmres,18.47236181,100,0.0575633,2.67E-13
bcg,18.47236181,22,0.0041056,2.64E-14
bicgstab,18.47236181,27,0.0008316,8.36E-14
direct,18.5678392,0,0.0001351,1.84E-14
gmres,18.5678392,100,0.0987407,2.72E-13
bcg,18.5678392,23,0.0043444,4.85E-14
bicgstab,18.5678392,28,0.0007319,2.46E-14
direct,18.66331658,0,7.11E-05,1.72E-14
gmres,18.66331658,100,0.0844536,1.31E-13
bcg,18.66331658,22,0.0098771,8.17E-14
bicgstab,18.66331658,27,0.0014297,2.14E-14
direct,18.75879397,0,0.0001406,2.35E-14
gmres,18.75879397,100,0.0877814,3.79E-13
bcg,18.75879397,22,0.0041728,1.62E-14
bicgstab,18.75879397,27,0.0007465,7.90E-14
direct,18.85427136,0,7.47E-05,1.17E-14
gmres,18.85427136,100,0.0514907,2.00E-13
bcg,18.85427136,22,0.004061,3.15E-14
bicgstab,18.85427136,27,0.0007131,2.11E-14
direct,18.94974874,0,7.16E-05,1.92E-14
gmres,18.94974874,100,0.0711172,1.95E-13
bcg,18.94974874,22,0.0042724,2.62E-14
bicgstab,18.94974874,27,0.0007178,7.21E-14
direct,19.04522613,0,6.20E-05,2.40E-14
gmres,19.04522613,100,0.0615463,2.73E-13
bcg,19.04522613,22,0.0041808,1.85E-14
bicgstab,19.04522613,28,0.0007516,3.08E-14
direct,19.14070352,0,8.29E-05,2.01E-14
gmres,19.14070352,100,0.0652593,2.05E-13
bcg,19.14070352,22,0.0045106,2.31E-14
bicgstab,19.14070352,27,0.0008386,7.83E-14
direct,19.2361809,0,9.01E-05,1.36E-14
gmres,19.2361809,100,0.0658407,1.61E-13
bcg,19.2361809,22,0.0054404,1.86E-14
bicgstab,19.2361809,27,0.0014797,1.57E-14
direct,19.33165829,0,9.42E-05,1.48E-14
gmres,19.33165829,100,0.0591561,3.55E-13
bcg,19.33165829,22,0.0063472,2.44E-14
bicgstab,19.33165829,27,0.0014197,5.11E-14
direct,19.42713568,0,0.0001095,1.21E-14
gmres,19.42713568,100,0.1097752,1.55E-13
bcg,19.42713568,22,0.0046337,2.09E-14
bicgstab,19.42713568,27,0.0008079,1.88E-14
direct,19.52261307,0,8.69E-05,1.74E-14
gmres,19.52261307,100,0.0523633,2.47E-13
bcg,19.52261307,23,0.0042651,3.60E-14
bicgstab,19.52261307,27,0.0007087,3.39E-14
direct,19.61809045,0,6.94E-05,1.75E-14
gmres,19.61809045,100,0.0915011,2.08E-13
bcg,19.61809045,23,0.0121078,2.37E-14
bicgstab,19.61809045,28,0.0016582,1.98E-14
direct,19.71356784,0,0.0001472,2.31E-14
gmres,19.71356784,100,0.0920664,3.93E-13
bcg,19.71356784,22,0.0081526,5.77E-14
bicgstab,19.71356784,27,0.0016341,2.16E-14
direct,19.80904523,0,0.0001022,8.48E-15
gmres,19.80904523,100,0.0768485,2.52E-13
bcg,19.80904523,22,0.0043922,4.89E-14
bicgstab,19.80904523,28,0.000754,2.72E-14
direct,19.90452261,0,8.48E-05,9.16E-15
gmres,19.90452261,100,0.0791887,4.62E-13
bcg,19.90452261,22,0.0097856,4.03E-14
bicgstab,19.90452261,27,0.0008139,1.54E-14
direct,20,0,9.17E-05,1.56E-14
gmres,20,100,0.0763348,3.15E-13
bcg,20,22,0.0076678,1.37E-14
bicgstab,20,27,0.0019783,3.66E-14
